t.name,t.uri
"cumberland Sound, Nunavut",http://www.wikidata.org/entity/Q938327
currency note,http://purl.obolibrary.org/obo/ENVO_00003896
d'Entrecasteaux Islands,http://www.geonames.org/2098223
dagastan,http://eol.org/schema/terms/Dagastan
dalaman River,http://www.geonames.org/317718
darjiling,http://www.geonames.org/1273468
davies Reef,http://www.geonames.org/2169306
davis Strait,http://www.wikidata.org/entity/Q189262
decumbent,http://eol.org/schema/terms/decumbent
deep ocean current,http://purl.obolibrary.org/obo/ENVO_01000098
delarof Islands,http://www.wikidata.org/entity/Q195124
demilitiarized zone,http://purl.obolibrary.org/obo/ENVO_00000136
denmark Strait,http://www.wikidata.org/entity/Q152058
determinate root nodule,http://purl.obolibrary.org/obo/ENVO_01000167
detritus,http://www.owl-ontologies.com/unnamed.owl#Detritus
devon Island,http://www.geonames.org/5938808
dg,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64555
dilution basin mediterranean sea biome,http://purl.obolibrary.org/obo/ENVO_01000128
dinagat,http://www.geonames.org/1714796
disko Bay,http://www.wikidata.org/entity/Q1135227
ditch mouth,http://purl.obolibrary.org/obo/ENVO_00000518
diversionary dam,http://purl.obolibrary.org/obo/ENVO_00000558
"dividalen, Målselv, Troms",http://www.geonames.org/3159212
doksy,http://www.geonames.org/3076972
doline karst,http://purl.obolibrary.org/obo/ENVO_00000336
dolomite,http://purl.obolibrary.org/obo/ENVO_00010623
douglas County,http://www.geonames.org/5792681
douglas-fir (Willamette Valley foothills),http://eol.org/schema/terms/Douglas_fir_--Willamette_Valley_foothills--
drilling bore water,http://purl.obolibrary.org/obo/ENVO_00002159
drumlin,http://purl.obolibrary.org/obo/ENVO_00000276
drumlin field,http://purl.obolibrary.org/obo/ENVO_00000431
dry dam,http://purl.obolibrary.org/obo/ENVO_00000557
dry stream valley,http://purl.obolibrary.org/obo/ENVO_0010162
dublin,http://www.geonames.org/2964574
duke of York Island,http://www.geonames.org/6632426
dune soil,http://purl.obolibrary.org/obo/ENVO_00002260
durisol,http://purl.obolibrary.org/obo/ENVO_00002238
ear wax,http://purl.obolibrary.org/obo/ENVO_02000028
earliest,http://eol.org/schema/terms/earliest
early April,http://eol.org/schema/terms/earlyApril
early August,http://eol.org/schema/terms/earlyAugust
early December,http://eol.org/schema/terms/earlyDecember
